NRO,DISTRITO,DENOMINACION,Tipo de Partido,A¤o de recononimiento,N§ de Afiliados,Carta Org nica.,,Senadores P,Diputados P.,Intendente,Concejales 
825,ALMIRANTE BROWN,VECINOS SOLIDARIOS DE ALMIRANTE BROWN,Agrupaci¢n Municipal,22/05/2017,1746,,,,,,
784,ARRECIFES,ESPACIO PLURAL POR ARRECIFES,Agrupaci¢n Municipal,21/05/2015,275,,,,,,
428,AZUL,VECINOS POR AZUL,Agrupaci¢n Municipal,18/07/2001,250,,,,,,
815,AZUL,NUEVO AZUL,Agrupaci¢n Municipal,27/04/2017,262,,,,,,
887,AZUL,PODEMOS AZUL,Agrupaci¢n Municipal,31/05/2019,274,,,,,,
642,BAHIA BLANCA,INTEGRACION CIUDADANA,Agrupaci¢n Municipal,02/08/2007,979,,,,,,
866,BAHIA BLANCA,TODOS POR BAHIA,Agrupaci¢n Municipal,07/05/2019,990,,,,,,
885,BALCARCE,UNION VECINAL DE BALCARCE,Agrupaci¢n Municipal,31/05/2019,262,,,,,,
826,BARADERO,MISION, ACCION Y COMPROMISO,Agrupaci¢n Municipal,22/05/2017,265,,,,,,
855,BERAZATEGUI,ELIJO BERAZATEGUI,Agrupaci¢n Municipal,21/02/2019,1082,,,,,,
306,BERISSO,ACCION MUNICIPAL DE BERISSO (AMUBE),Agrupaci¢n Municipal,15/03/1993,328,,,,,,
706,BERISSO,AGRUPACION MUNICIPAL UNIDAD PARA EL CAMBIO,Agrupaci¢n Municipal,26/05/2011,331,,,,,,
794,BERISSO,VECINOS AUTOCONVOCADOS Y MOVILIZADOS POR LA ORGANIZACION SOCIAL (VAMOS),Agrupaci¢n Municipal,14/05/2015,328,,,,,,
881,BERISSO,UNION BERISSENSE,Agrupaci¢n Municipal,17/05/2019,350,,,,,,
749,BRAGADO,UNIDOS POR BRAGADO,Agrupaci¢n Municipal,20/05/2013,372,,,,,,
812,BRAGADO,ACCION PARA EL DESARROLLO,Agrupaci¢n Municipal,07/04/2017,265,,,,,,
768,BRANDSEN,CAUSA POPULAR BRANDSEN,Agrupaci¢n Municipal,26/02/2015,258,,,,,,
823,CAMPANA,UNION VECINAL MAS CAMPANA,Agrupaci¢n Municipal,15/05/2017,319,,,,,,
830,CAMPANA,ESPACIO CIUDADANO VAMOS CAMPANA,Agrupaci¢n Municipal,22/05/2017,322,,,,,,
484,CARMEN DE ARECO,NUEVA ALTERNATIVA CARME¥A,Agrupaci¢n Municipal,12/03/2003,311,,,,,,
872,CHACABUCO,NUEVA DIRIGENCIA,Agrupaci¢n Municipal,17/05/2019,260,,,,,,
471,CHASCOMUS,UNIDAD POR CHASCOMUS,Agrupaci¢n Municipal,05/03/2003,269,,,,,,
831,CHASCOMUS,JUNTOS POR CHASCOMUS (JPC),Agrupaci¢n Municipal,22/05/2017,279,,,,,,
739,CORONEL DORREGO,JUNTOS POR DORREGO,Agrupaci¢n Municipal,20/05/2013,251,,,,,,
664,CORONEL PRINGLES,COMPROMISO PRINGLES,Agrupaci¢n Municipal,17/04/2009,276,,,,,,
797,CORONEL PRINGLES,ENTRE TODOS,Agrupaci¢n Municipal,26/05/2015,312,,,,,,
382,CORONEL ROSALES,INTEGRACION VECINALISTA ROSALE¥A,Agrupaci¢n Municipal,05/05/1998,398,,,,,,
809,CORONEL ROSALES,BIEN COMUN POR ROSALES,Agrupaci¢n Municipal,16/02/2017,254,,,,,,
318,CORONEL SUAREZ,MOVIMIENTO PARA LA VICTORIA,Agrupaci¢n Municipal,26/07/1993,938,,,,,,
758,CORONEL SUAREZ,UNA NUEVA OPORTUNIDAD SUARENSE,Agrupaci¢n Municipal,02/06/2013,337,,,,,,
